"source","image_relpath","filename","emotion_label","emotion_name"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/26659.png","26659.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/64350.png","64350.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/25208.png","25208.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/51668.png","51668.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/44659.png","44659.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/59037.png","59037.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/47769.png","47769.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/55682.png","55682.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/36485.png","36485.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/50704.png","50704.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/67247.png","67247.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/40851.png","40851.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/27604.png","27604.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/36559.png","36559.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/38703.png","38703.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/46916.png","46916.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/24643.png","24643.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/47384.png","47384.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/52701.png","52701.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/12569.png","12569.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/06017.png","06017.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/04157.png","04157.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/36513.png","36513.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/54433.png","54433.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/40277.png","40277.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/57721.png","57721.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/6/11015.png","11015.png","6","Sadness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/04251.png","04251.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/40246.png","40246.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/31820.png","31820.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/55256.png","55256.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/01508.png","01508.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/50851.png","50851.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/34450.png","34450.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/43274.png","43274.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/27721.png","27721.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/51934.png","51934.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/32822.png","32822.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/62035.png","62035.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/48512.png","48512.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/50905.png","50905.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/05730.png","05730.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/61435.png","61435.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/24553.png","24553.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/33335.png","33335.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/35626.png","35626.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/12970.png","12970.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/14992.png","14992.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/29730.png","29730.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/60483.png","60483.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/07788.png","07788.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/23222.png","23222.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/16348.png","16348.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/17122.png","17122.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/38505.png","38505.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/45079.png","45079.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/50732.png","50732.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/52807.png","52807.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/48592.png","48592.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/22919.png","22919.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/27828.png","27828.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/06616.png","06616.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/10171.png","10171.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/09219.png","09219.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/44434.png","44434.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/23758.png","23758.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/49469.png","49469.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/44420.png","44420.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/00680.png","00680.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/19458.png","19458.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/04062.png","04062.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/07506.png","07506.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/29741.png","29741.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/23258.png","23258.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/49722.png","49722.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/34534.png","34534.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/14365.png","14365.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/68479.png","68479.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/19259.png","19259.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/43771.png","43771.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/09905.png","09905.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/45716.png","45716.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/20070.png","20070.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/32353.png","32353.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/57279.png","57279.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/63953.png","63953.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/03655.png","03655.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/49097.png","49097.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/23666.png","23666.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/03805.png","03805.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/34768.png","34768.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/09692.png","09692.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/26153.png","26153.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/38122.png","38122.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/40206.png","40206.png","4","Happiness"
"ffhq","Cleaned_FFHQ_Dataset_50/train/5/32481.png","32481.png","5","Neutral"
"ffhq","Cleaned_FFHQ_Dataset_50/train/4/16216.png","16216.png","4","Happiness"
